player,Season,season_type,Team,adv_PER,adv_TS_pct,adv_3PAr,adv_FTr,adv_ORB_pct,adv_DRB_pct,adv_TRB_pct,adv_AST_pct,adv_STL_pct,adv_BLK_pct,adv_TOV_pct,adv_USG_pct,adv_OWS,adv_DWS,adv_WS,adv_WS/48,adv_OBPM,adv_DBPM,adv_BPM,adv_VORP,pg_FG,pg_FGA,pg_FG_pct,pg_3P,pg_3PA,pg_3P_pct,pg_2P,pg_2PA,pg_2P_pct,pg_eFG_pct,pg_FT,pg_FTA,pg_FT_pct,pg_ORB,pg_DRB,pg_TRB,pg_AST,pg_STL,pg_BLK,pg_TOV,pg_PF,pg_PTS,Weighted_BPM,CareerNetRating,ImpactScore,PeakImpactSeason,AgeCurveIndex,Age,Pos,G,GS,MP,clutch_GP,clutch_W,clutch_L,clutch_MIN,clutch_PTS,clutch_FGM,clutch_FGA,clutch_FG_pct,clutch_3PM,clutch_3PA,clutch_3P_pct,clutch_FTM,clutch_FTA,clutch_FT_pct,clutch_OREB,clutch_DREB,clutch_REB,clutch_AST,clutch_TOV,clutch_STL,clutch_BLK,clutch_PF,clutch_FP,clutch_DD2,clutch_TD3,clutch_plus_minus
Luka Doncic,2024-25,Playoffs,LAL,21.5,0.608,0.442,0.442,1.1,18,9.8,28.2,1.3,1.4,13.9,32.4,0.5,0.1,0.6,0.136,4.8,0.5,5.3,0.4,9.4,20.8,0.452,3.2,9.2,0.348,6.2,11.6,0.534,0.529,8.2,9.2,0.891,0.4,6.6,7,5.8,1,0.6,4,3.2,30.2,1102.3999999999999,8.390677179962896,0.4852941176470588,FALSE,0.7517482517482517,25,,5,5,208,3,0,3,3.5,0.7,0.3,1.7,20,0,0.7,0,0,0,0,0,0.3,0.3,0.7,0,0,0,0.3,2.1,0,0,-6.7
Luka Doncic,2024-25,Regular Season,2TM,24.1,0.587,0.469,0.385,2.6,22.6,12.8,36.1,2.5,1.1,13,33.9,3.5,2.4,5.9,0.16,5.5,1.2,6.7,3.9,9.2,20.5,0.45,3.5,9.6,0.368,5.7,10.9,0.522,0.536,6.2,7.9,0.782,0.8,7.4,8.2,7.7,1.8,0.4,3.6,2.5,28.2,11852.300000000001,7.604186212220177,1.073529411764706,FALSE,0.8397212543554008,25,,50,50,1769,24,13,11,3.3,1.9,0.7,1.8,39.5,0.3,0.9,31.8,0.2,0.3,57.1,0.1,0.5,0.6,0.6,0.2,0.1,0,0.3,3.5,11,4,1
Luka Doncic,2025-26,Regular Season,LAL,27,0.606,0.454,0.527,3.1,21.7,12.7,41.8,2.2,1.4,14.2,38.2,3.1,1.2,4.3,0.184,6.9,0.6,7.5,2.7,10.4,22.4,0.464,3.3,10.2,0.327,7.1,12.2,0.578,0.538,9.3,11.8,0.79,0.9,6.9,7.9,8.8,1.6,0.5,4.6,2.7,33.4,8467.5,7.604186212220177,1.3897058823529411,FALSE,0.9407665505226481,26,,31,31,1129,10,9,1,2.5,1.8,0.4,1.2,33.3,0.3,0.8,37.5,0.7,0.8,87.5,0,0.5,0.5,0.6,0.1,0.1,0,0.1,3.5,6,2,2.6
Nikola Jokic,2015-16,Regular Season,DEN,21.5,0.582,0.14,0.317,11.4,24.7,17.9,18.1,2.3,2.3,13.2,19.9,4.5,2.2,6.7,0.185,2.6,1.3,3.9,2.6,3.8,7.5,0.512,0.4,1.1,0.333,3.5,6.5,0.541,0.535,1.9,2.4,0.811,2.3,4.7,7,2.4,1,0.6,1.3,2.6,10,6758.7,10.557960008079176,0.9264705882352942,FALSE,0.5988857938718664,20,,80,55,1733,25,12,13,2.6,0.9,0.3,0.6,43.8,0,0,100,0.3,0.4,72.7,0.1,0.7,0.8,0.2,0.1,0.1,0,0.4,2.4,8,0,-0.4
Nikola Jokic,2016-17,Regular Season,DEN,26.3,0.64,0.163,0.267,11.6,27.2,19.5,28.8,1.5,2.1,15.2,23.5,7.7,2,9.7,0.228,5.9,1.4,7.3,4.8,6.8,11.7,0.578,0.6,1.9,0.324,6.2,9.8,0.628,0.605,2.6,3.1,0.825,2.9,6.9,9.8,4.9,0.8,0.8,2.3,2.9,16.7,14877.4,10.557960008079176,1.4779411764705883,FALSE,0.7325905292479109,21,,73,59,2038,34,13,21,2.7,1.7,0.6,1.3,47.7,0.1,0.4,30.8,0.4,0.5,72.2,0.3,0.8,1.1,0.3,0.1,0,0.1,0.3,3.6,21,2,0.9
Nikola Jokic,2017-18,Regular Season,DEN,24.4,0.603,0.277,0.31,9,27.9,18.5,29.6,1.8,2.1,15.5,24.2,7.8,2.9,10.7,0.211,5.3,1.6,6.9,5.5,6.7,13.5,0.499,1.5,3.7,0.396,5.2,9.7,0.538,0.554,3.5,4.2,0.85,2.6,8.1,10.7,6.1,1.2,0.8,2.8,2.8,18.5,16856.7,10.557960008079176,1.3529411764705883,FALSE,0.6796657381615598,22,,75,73,2443,39,20,19,3.7,1.6,0.5,1.3,37.3,0.1,0.4,28.6,0.6,0.6,88,0.3,0.8,1.1,0.5,0.4,0.1,0,0.6,3.6,23,5,0.3
Nikola Jokic,2018-19,Playoffs,DEN,29.5,0.596,0.215,0.299,10,24.5,17.2,37.1,1.5,1.8,10.9,26.6,2.6,0.5,3.1,0.268,8.3,3.3,11.6,1.9,9.4,18.6,0.506,1.6,4,0.393,7.9,14.6,0.537,0.548,4.7,5.6,0.846,3.9,9.1,13,8.4,1.1,0.9,2.6,3.9,25.1,6461.2,10.781560677589558,1.8970588235294117,FALSE,0.891238671,23,,14,14,557,7,3,4,6.2,1.1,0.4,2.3,18.8,0,0.9,0,0.3,0.6,50,0.3,1.4,1.7,2,0.7,0,0.1,0.7,5.9,7,4,0.6
Nikola Jokic,2018-19,Regular Season,DEN,26.3,0.589,0.224,0.292,9.8,27.6,18.7,37,2.1,1.9,15.4,27.4,7.5,4.3,11.8,0.226,6.2,2.9,9.1,7,7.7,15.1,0.511,1,3.4,0.307,6.7,11.7,0.569,0.545,3.6,4.4,0.821,2.9,8,10.8,7.3,1.4,0.7,3.1,2.9,20.1,22786.399999999998,10.557960008079176,1.8602941176470589,FALSE,0.7325905292479109,23,,80,80,2504,44,31,13,3.2,2.2,0.8,1.6,48.6,0.1,0.3,40,0.4,0.5,82.6,0.3,0.6,0.9,0.7,0.5,0.1,0.1,0.4,4.4,32,8,2
Nikola Jokic,2019-20,Playoffs,DEN,24.8,0.614,0.286,0.23,6.4,25.5,16,28.6,1.5,2.1,14.1,28.9,1.9,0.6,2.5,0.172,6.1,1.3,7.4,1.7,9.4,18.1,0.519,2.2,5.2,0.429,7.2,12.9,0.555,0.58,3.5,4.2,0.835,1.9,7.9,9.8,5.7,1.1,0.8,3.3,3.6,24.4,5135.6,10.781560677589558,1.0073529411764706,FALSE,0.7492447129909365,24,,19,19,694,11,6,5,3.3,2.7,0.9,1.5,62.5,0.4,0.5,66.7,0.5,0.6,85.7,0.3,0.5,0.7,0.2,0.1,0.1,0,0.3,4.1,6,0,1.6
Nikola Jokic,2019-20,Regular Season,DEN,24.9,0.605,0.238,0.281,8,26.1,17.1,35.2,1.8,1.7,15.8,26.6,6.7,3.1,9.8,0.202,5.5,2,7.4,5.5,7.7,14.7,0.528,1.1,3.5,0.314,6.6,11.2,0.594,0.565,3.4,4.1,0.817,2.3,7.5,9.7,7,1.2,0.6,3.1,3,19.9,17286.4,10.557960008079176,1.4338235294117647,FALSE,0.6935933147632312,24,,73,73,2336,43,29,14,3.8,3.4,1.2,2.4,51,0.1,0.5,28.6,0.9,1.1,82.6,0.4,0.8,1.2,0.6,0.2,0.1,0,0.4,5.9,29,9,2.2
Nikola Jokic,2020-21,Playoffs,DEN,29.6,0.591,0.232,0.241,11.3,28,19,27.7,0.9,2.5,8.7,34.8,1.2,0.1,1.3,0.181,8.8,0.2,9,0.9,11.6,22.8,0.509,2,5.3,0.377,9.6,17.5,0.549,0.553,4.6,5.5,0.836,3.7,7.9,11.6,5,0.6,0.9,2.4,2.3,29.8,3105,10.781560677589558,1.4705882352941178,FALSE,0.8942598187311178,25,,10,10,345,3,3,0,5,4.3,1.7,4,41.7,0.3,1,33.3,0.7,0.7,100,1,1,2,2,0,0,0,0.3,9.7,2,0,5
Nikola Jokic,2020-21,Regular Season,DEN,31.3,0.647,0.183,0.305,9.4,26.1,17.8,40.4,1.9,1.9,13.1,29.6,12.2,3.4,15.6,0.301,9.1,3,12.1,8.8,10.2,18,0.566,1.3,3.3,0.388,8.9,14.7,0.606,0.602,4.8,5.5,0.868,2.8,8,10.8,8.3,1.3,0.7,3.1,2.7,26.4,30104.8,10.557960008079176,2.698529411764706,FALSE,0.871866295,25,,72,72,2488,31,18,13,4.7,4.2,1.5,3.1,49.5,0.2,0.6,26.3,1,1.2,88.9,0.5,1.1,1.5,0.7,0.5,0.3,0.1,0.6,7.8,23,4,1
Nikola Jokic,2021-22,Playoffs,DEN,33.1,0.643,0.17,0.311,11.9,36.6,23.9,36.5,2.3,3.1,16.6,36.8,0.6,0.1,0.7,0.202,8.1,2.5,10.7,0.6,12.2,21.2,0.575,1,3.6,0.278,11.2,17.6,0.636,0.599,5.6,6.6,0.848,3.4,9.8,13.2,5.8,1.6,1,4.8,4,31,1829.6999999999998,10.781560677589558,1.8235294117647058,FALSE,1,26,,5,5,171,3,1,2,4.7,6,2.3,3,77.8,0,0.3,0,1.3,1.3,100,0.3,0.3,0.7,0.3,0.3,0,0,0,7,2,0,-2.3
Nikola Jokic,2021-22,Regular Season,DEN,32.8,0.661,0.22,0.357,9.6,35.5,23,42.6,2.2,2.3,15.6,31.9,10.8,4.5,15.2,0.296,9.2,4.5,13.7,9.8,10.3,17.7,0.583,1.3,3.9,0.337,9,13.8,0.652,0.62,5.1,6.3,0.81,2.8,11,13.8,7.9,1.5,0.9,3.8,2.6,27.1,33921.2,10.557960008079176,2.8676470588235294,TRUE,0.9136490250696379,26,,74,74,2476,36,22,14,3.9,4,1.3,2.6,49.5,0.1,0.3,18.2,1.4,1.8,79.7,0.6,0.9,1.5,0.6,0.5,0.2,0.2,0.5,7.3,34,9,0.8
Nikola Jokic,2022-23,Playoffs,DEN,31.2,0.631,0.184,0.336,10.6,28.4,19.8,41,1.4,2.2,12.8,31.1,3.7,1.3,5,0.305,9.1,3.7,12.8,3,11.4,20.7,0.548,1.8,3.8,0.461,9.6,16.9,0.568,0.591,5.6,7,0.799,3.5,10,13.5,9.5,1.1,1,3.5,3.5,30,10099.2,10.781560677589558,2.2573529411764706,TRUE,0.9425981873111782,27,,20,20,789,12,8,4,3,2.8,0.9,2.3,39.3,0.1,0.5,16.7,0.8,1.1,76.9,0.3,0.6,0.9,0.8,0.3,0.2,0,0.3,5.2,11,6,1.3
Nikola Jokic,2022-23,Regular Season,DEN,31.5,0.701,0.146,0.406,8.5,31.3,20.2,46.6,1.8,1.8,17,27.2,11.2,3.8,14.9,0.308,8.5,4.5,13,8.8,9.4,14.8,0.632,0.8,2.2,0.383,8.5,12.7,0.675,0.66,4.9,6,0.822,2.4,9.4,11.8,9.8,1.3,0.7,3.6,2.5,24.5,30199,10.557960008079176,2.735294117647059,FALSE,0.8774373259052926,27,,69,69,2323,29,20,9,4,3.4,1,1.9,50.9,0.1,0.4,36.4,1.4,1.7,80,0.3,0.9,1.2,0.9,0.3,0.1,0.1,0.4,6.6,24,15,2.7
Nikola Jokic,2023-24,Playoffs,DEN,30,0.625,0.217,0.291,9.9,28.7,19,40.3,1.8,1.5,12.7,30,1.9,0.7,2.6,0.259,9,3.8,12.8,1.8,11.1,20.3,0.545,1.2,4.4,0.264,9.9,15.9,0.623,0.574,5.3,5.9,0.901,3.6,9.8,13.4,8.7,1.4,0.7,3.3,2.7,28.7,6169.6,10.781560677589558,1.9779411764705883,FALSE,0.9063444108761329,28,,12,12,482,5,3,2,2.5,1.6,0.6,1.2,50,0,0,0,0.4,0.4,100,0.2,0.6,0.8,0.6,0.2,0,0,0.2,3.3,4,1,-1.6
Nikola Jokic,2023-24,Regular Season,DEN,31,0.65,0.164,0.31,9.3,29.6,19.8,42,2,2.1,12.9,29.3,12,5.1,17,0.299,9,4.2,13.2,10.6,10.4,17.9,0.583,1.1,2.9,0.359,9.4,14.9,0.626,0.612,4.5,5.5,0.817,2.8,9.5,12.4,9,1.4,0.9,3,2.5,26.4,36128.4,10.557960008079176,2.764705882352941,FALSE,0.8635097493036212,28,,79,79,2737,36,23,13,3.4,3.6,1.2,2.1,55.3,0.3,0.6,39.1,1,1.2,81.8,0.2,1.1,1.2,0.6,0.4,0.1,0,0.4,5.9,33,11,2.4
Nikola Jokic,2024-25,Playoffs,DEN,24.7,0.587,0.265,0.377,5.7,28.6,17.3,35.6,2.5,1.9,15,28.2,1.3,0.8,2.1,0.181,6.9,3.8,10.7,1.8,9.4,19.1,0.489,1.9,5.1,0.38,7.4,14.1,0.528,0.539,5.6,7.2,0.772,2.1,10.6,12.7,8,2,0.9,3.9,3.4,26.2,6024.099999999999,10.781560677589558,1.3235294117647058,FALSE,0.7462235649546827,29,,14,14,563,8,4,4,4.4,3.3,0.9,2.4,36.8,0.3,1,25,1.3,2,62.5,0.3,0.6,0.9,0.6,0.4,0.4,0,0.3,6,7,1,-0.1
Nikola Jokic,2024-25,Regular Season,DEN,32,0.663,0.243,0.331,9,28.2,19.1,44.1,2.4,1.6,12.8,29.5,12.7,3.8,16.4,0.307,9.9,3.3,13.3,9.8,11.2,19.5,0.576,2,4.7,0.417,9.3,14.8,0.627,0.627,5.2,6.4,0.8,2.9,9.9,12.7,10.2,1.8,0.6,3.3,2.3,29.6,34194.3,10.557960008079176,2.8529411764705883,FALSE,0.8913649025069639,29,,70,70,2571,33,19,14,4.2,4.2,1.5,2.7,56.2,0.2,0.4,42.9,1,1.4,72.3,0.5,1,1.5,1.1,0.5,0.1,0,0.5,7.7,29,18,1.8
Nikola Jokic,2025-26,Regular Season,DEN,35.9,0.713,0.275,0.425,10.5,28.6,20,53.1,1.9,2.1,14.5,30.6,7.2,1.5,8.7,0.378,12.3,4.2,16.5,5.1,10.6,17.5,0.605,2.1,4.8,0.435,8.5,12.7,0.67,0.665,6.3,7.4,0.853,3,9.1,12.2,11,1.4,0.8,3.5,2.8,29.6,18249,10.557960008079176,2.6470588235294117,FALSE,1,30,,32,32,1106,13,5,8,4.6,6.2,1.5,2.8,55.6,0.4,0.9,41.7,2.7,3.2,83.3,0.3,1.2,1.5,0.6,0.2,0.2,0.1,0.4,9.3,12,7,-1.8
Shai Gilgeous-Alexander,2018-19,Playoffs,LAC,16.6,0.596,0.3,0.333,2.4,8.2,5.2,16.4,1.6,2.4,6.8,17.8,0.4,-0.1,0.3,0.085,2.1,0.8,2.9,0.2,4.7,10,0.467,1.5,3,0.5,3.2,7,0.452,0.542,2.8,3.3,0.85,0.7,2,2.7,3.2,1,0.8,0.8,2.8,13.7,501.7,6.896592244418331,0.2647058823529412,FALSE,0.6509803921568628,20,,6,6,173,2,2,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,3,0,0,3
Shai Gilgeous-Alexander,2018-19,Regular Season,LAC,13.4,0.554,0.194,0.272,2.9,8.3,5.7,17.8,2.1,1.6,15,18.3,1.5,1.9,3.3,0.074,-0.9,0.4,-0.5,0.8,4.2,8.7,0.476,0.6,1.7,0.367,3.5,7,0.503,0.512,1.9,2.4,0.8,0.7,2.1,2.8,3.3,1.2,0.5,1.7,2.1,10.8,-1087,6.0611368979444205,0.4705882352941177,FALSE,0.4240506329113924,20,,82,73,2174,28,19,9,2.5,0.9,0.3,0.6,50,0.1,0.3,28.6,0.1,0.2,80,0.1,0.2,0.3,0.2,0.1,0,0,0.2,1.6,1,0,0
Shai Gilgeous-Alexander,2019-20,Playoffs,OKC,13.1,0.569,0.389,0.256,1.2,12.3,6.9,16.9,1.2,1.3,13,17.8,0.3,0.3,0.6,0.1,0.6,1.2,1.8,0.3,5.6,12.9,0.433,2,5,0.4,3.6,7.9,0.455,0.511,3.1,3.3,0.957,0.4,4.9,5.3,4.1,1,0.4,2.1,2.4,16.3,502.2,6.896592244418331,0.21323529411764708,FALSE,0.5137254901960784,21,,7,7,279,4,3,1,5.5,2,0.8,2,37.5,0.5,1.5,33.3,0,0,0,0,0.3,0.3,0.5,0.5,0,0,0,2.6,1,0,3
Shai Gilgeous-Alexander,2019-20,Regular Season,OKC,17.7,0.568,0.247,0.352,2.2,16.1,9.4,15.2,1.6,1.7,10.3,23.7,3.1,3,6.1,0.121,1.3,0.4,1.7,2.2,6.8,14.5,0.471,1.2,3.6,0.347,5.6,10.9,0.512,0.514,4.1,5.1,0.807,0.7,5.2,5.9,3.3,1.1,0.7,1.9,1.7,19,4127.599999999999,6.0611368979444205,0.7205882352941175,FALSE,0.560126582,21,,70,70,2428,41,27,14,4.1,2.3,0.7,1.2,58.3,0,0.1,33.3,0.9,1.1,77.8,0,0.7,0.7,0.2,0.3,0.2,0,0.2,4.1,5,0,2.5
Shai Gilgeous-Alexander,2020-21,Regular Season,OKC,21.6,0.623,0.301,0.405,1.7,13.1,7.3,31.2,1.1,1.7,13.7,27.8,2.7,0.8,3.5,0.143,3.9,0.2,4.1,1.8,8.2,16.1,0.508,2,4.9,0.418,6.2,11.3,0.547,0.571,5.3,6.5,0.808,0.5,4.2,4.7,5.9,0.8,0.7,3,2,23.7,4838,6.0611368979444205,0.7794117647058822,FALSE,0.6835443037974683,22,,35,35,1180,15,11,4,3.4,4.7,1.3,2.5,51.4,0.3,0.8,41.7,1.9,2.3,80,0.1,0.5,0.6,0.6,0.3,0.1,0.1,0.2,6.6,2,0,1.9
Shai Gilgeous-Alexander,2021-22,Regular Season,OKC,20.9,0.557,0.282,0.385,1.9,13,7.4,31.1,1.8,2.2,11.1,30.8,2.8,1.8,4.6,0.113,2.9,0.5,3.4,2.7,8.5,18.8,0.453,1.6,5.3,0.3,6.9,13.5,0.514,0.496,5.9,7.2,0.81,0.7,4.3,5,5.9,1.3,0.8,2.8,2.5,24.5,6602.8,6.0611368979444205,0.7941176470588236,FALSE,0.6613924050632911,23,,56,56,1942,25,11,14,3.5,3,1.1,2.4,44.3,0.2,0.8,21.1,0.7,1,72,0.1,0.6,0.7,0.6,0.3,0.1,0.1,0.4,5,2,0,-0.2
Shai Gilgeous-Alexander,2022-23,Regular Season,OKC,27.2,0.626,0.122,0.535,2.6,12.2,7.3,25.7,2.2,2.5,10.1,32.8,8.4,3,11.4,0.226,5.7,1.5,7.3,5.6,10.4,20.3,0.51,0.9,2.5,0.345,9.5,17.8,0.533,0.531,9.8,10.9,0.905,0.9,4,4.8,5.5,1.6,1,2.8,2.8,31.4,17636.8,6.0611368979444205,1.661764705882353,FALSE,0.860759494,24,,68,68,2416,38,14,24,4,3.4,0.9,2.4,38.7,0.1,0.5,25,1.3,1.5,91.1,0.1,0.6,0.7,0.5,0.3,0.1,0.1,0.6,5.2,3,0,-0.7
Shai Gilgeous-Alexander,2023-24,Playoffs,OKC,25.5,0.582,0.165,0.362,2.3,17.1,10,29.6,1.7,4,7.8,32.2,1.1,0.9,1.9,0.233,5.9,3.3,9.2,1.1,11.1,22.4,0.496,1.6,3.7,0.432,9.5,18.7,0.508,0.531,6.4,8.1,0.79,0.8,6.4,7.2,6.4,1.3,1.7,2.2,3.1,30.2,3670.7999999999997,6.896592244418331,1.2720588235294117,FALSE,1,25,,10,10,399,5,3,2,4.2,4.2,1.4,3,46.7,0.2,0.6,33.3,1.2,1.2,100,0.2,0.8,1,1,1,0.2,0.4,1.2,7.7,2,0,0.4
Shai Gilgeous-Alexander,2023-24,Regular Season,OKC,29.3,0.636,0.181,0.436,3,14.7,9.1,29.8,2.8,2.4,8.4,32.8,10.5,4.2,14.6,0.275,6.7,2.3,9,7.1,10.6,19.8,0.535,1.3,3.6,0.353,9.3,16.2,0.576,0.567,7.6,8.7,0.874,0.9,4.7,5.5,6.2,2,0.9,2.2,2.5,30.1,22977,6.0611368979444205,2.1764705882352944,FALSE,0.9272151898734177,25,,75,75,2553,34,23,11,3.2,3.3,1.1,1.8,58.1,0.1,0.4,35.7,1,1.1,89.7,0.1,0.4,0.6,0.6,0.2,0.2,0.1,0.1,5.5,5,0,2
Shai Gilgeous-Alexander,2024-25,Playoffs,OKC,25.3,0.574,0.224,0.431,2.9,12.9,7.9,30.6,2.2,2.4,9.1,32.9,2.6,1.4,3.9,0.222,5.7,2.6,8.3,2.2,10.1,21.9,0.462,1.4,4.9,0.283,8.7,17,0.514,0.494,8.3,9.4,0.876,1,4.3,5.3,6.5,1.7,0.9,2.6,2.8,29.9,7063.3,6.896592244418331,1.2941176470588236,TRUE,0.9921568627450981,26,,23,23,851,10,6,4,3.5,4.6,1.4,2.8,50,0.2,0.7,28.6,1.6,1.7,94.1,0.1,0.3,0.4,0.5,0.4,0,0.1,0,5.7,3,0,1.7
Shai Gilgeous-Alexander,2024-25,Regular Season,OKC,30.7,0.637,0.263,0.404,2.8,12.6,7.8,31.3,2.4,3,8.6,34.8,11.9,4.8,16.7,0.309,8.9,2.6,11.5,8.9,11.3,21.8,0.519,2.1,5.7,0.375,9.2,16.1,0.571,0.569,7.9,8.8,0.898,0.9,4.1,5,6.4,1.7,1,2.4,2.2,32.7,29877,6.0611368979444205,2.5955882352941178,TRUE,0.9715189873417721,26,,76,76,2598,22,15,7,2.8,3,0.8,1.7,47.4,0.3,0.6,53.8,1.1,1.3,82.8,0.1,0.3,0.4,0.3,0.1,0.1,0.1,0.2,4.6,1,0,1.5
Shai Gilgeous-Alexander,2025-26,Regular Season,OKC,31.6,0.664,0.252,0.464,1.5,12.8,7.4,33.2,2,2.3,7.5,33.6,6.7,2.5,9.2,0.339,9.3,2.8,12,4.6,10.9,19.9,0.545,2,5,0.393,8.9,14.9,0.596,0.594,8.2,9.3,0.886,0.4,4.1,4.5,6.4,1.4,0.8,1.9,2.1,31.9,15576,6.0611368979444205,2.4411764705882355,FALSE,1,27,,39,39,1298,15,11,4,5.2,7.9,2.3,4.7,49.3,0.5,1.7,26.9,2.8,3.3,85.7,0.1,0.7,0.8,0.9,0.1,0.2,0.1,0.7,11.1,0,0,5.1
Victor Wembanyama,2023-24,Regular Season,SAS,23.1,0.565,0.332,0.309,8.2,30.7,19.4,21.5,2,10,16.2,32.2,-0.7,4.4,3.7,0.085,1.9,3.3,5.2,3.8,7.8,16.7,0.465,1.8,5.5,0.325,6,11.2,0.534,0.519,4.1,5.2,0.796,2.3,8.4,10.6,3.9,1.2,3.6,3.7,2.2,21.4,10951.2,6.304993160054719,0.8602941176470589,FALSE,0.8400000000000001,20,,71,71,2106,35,12,23,3.6,2.4,0.7,1.9,38.5,0.1,0.8,18.5,0.8,1.1,76.3,0.3,0.9,1.3,0.3,0.4,0.1,0.5,0.3,5.8,24,0,-1.7
Victor Wembanyama,2024-25,Regular Season,SAS,24.2,0.594,0.47,0.221,5.7,29.8,17.7,18.3,1.6,10.4,13.7,30.4,1,2.8,3.8,0.118,3.6,2.9,6.5,3.3,8.9,18.6,0.476,3.1,8.8,0.352,5.8,9.9,0.586,0.559,3.4,4.1,0.836,1.8,9.2,11,3.7,1.1,3.8,3.2,2.3,24.3,9925.5,6.304993160054719,0.9558823529411764,FALSE,0.88,21,,46,46,1527,22,10,12,4,2.5,0.8,2.1,37,0.2,1,23.8,0.7,0.9,84.2,0.2,0.9,1.1,0.3,0.3,0.2,0.2,0.3,5.3,14,1,-0.9
Victor Wembanyama,2025-26,Regular Season,SAS,27.5,0.619,0.254,0.415,7,33.5,20.3,18,1.5,8.5,13.1,32.3,1.4,1.8,3.2,0.207,5.1,3.9,9,2.1,8.4,16.4,0.514,1.5,4.2,0.352,7,12.2,0.569,0.559,5.7,6.8,0.836,1.9,9.1,11,3,0.9,2.7,2.9,2.8,24,6777,6.304993160054719,1.4926470588235294,TRUE,1,22,,26,17,753,14,8,6,2.9,3.3,1,2.1,46.7,0.3,0.6,44.4,1,1.5,66.7,0.1,0.6,0.7,0.2,0.3,0,0.1,0.3,4.6,7,1,2
