player,Season,season_type,Team,adv_PER,adv_TS_pct,adv_3PAr,adv_FTr,adv_ORB_pct,adv_DRB_pct,adv_TRB_pct,adv_AST_pct,adv_STL_pct,adv_BLK_pct,adv_TOV_pct,adv_USG_pct,adv_OWS,adv_DWS,adv_WS,adv_WS/48,adv_OBPM,adv_DBPM,adv_BPM,adv_VORP,pg_FG,pg_FGA,pg_FG_pct,pg_3P,pg_3PA,pg_3P_pct,pg_2P,pg_2PA,pg_2P_pct,pg_eFG_pct,pg_FT,pg_FTA,pg_FT_pct,pg_ORB,pg_DRB,pg_TRB,pg_AST,pg_STL,pg_BLK,pg_TOV,pg_PF,pg_PTS,Weighted_BPM,CareerNetRating,ImpactScore,PeakImpactSeason,AgeCurveIndex,Age,Pos,G,GS,MP,clutch_GP,clutch_W,clutch_L,clutch_MIN,clutch_PTS,clutch_FGM,clutch_FGA,clutch_FG_pct,clutch_3PM,clutch_3PA,clutch_3P_pct,clutch_FTM,clutch_FTA,clutch_FT_pct,clutch_OREB,clutch_DREB,clutch_REB,clutch_AST,clutch_TOV,clutch_STL,clutch_BLK,clutch_PF,clutch_FP,clutch_DD2,clutch_TD3,clutch_plus_minus
Giannis Antetokounmpo,2019-20,Playoffs,MIL,31.3,0.61,0.248,0.503,10.3,38.2,24,36.7,1,3.1,13.2,35.2,0.9,0.5,1.4,0.238,7.8,3.4,11.2,0.9,10,17.9,0.559,1.4,4.4,0.325,8.6,13.4,0.636,0.599,5.2,9,0.58,3,10.8,13.8,5.7,0.7,0.9,3.3,3.4,26.7,3102.3999999999996,8.350591715976332,1.8308823529411766,FALSE,0.9427710843373494,25,,9,9,277,3,0,3,2.1,1,0.3,0.7,50,0,0,0,0.3,0.3,100,0.7,0.3,1,0,0,0,0,0.3,2.2,3,0,-4.3
Giannis Antetokounmpo,2019-20,Regular Season,MIL,31.9,0.613,0.237,0.508,7.7,34.8,22.1,34.2,1.5,3,13.2,37.5,6.1,5,11.1,0.279,7.4,4.1,11.5,6.6,10.9,19.7,0.553,1.4,4.7,0.304,9.5,15,0.631,0.589,6.3,10,0.633,2.2,11.4,13.6,5.6,1,1,3.7,3.1,29.5,22045.5,6.849705121572685,2.4926470588235294,FALSE,0.9300291545189505,25,,63,63,1917,21,16,5,2.6,3.3,1.3,2.4,54,0.1,0.4,25,0.6,1,65,0.5,1,1.5,0.1,0.5,0.2,0.1,0.8,5.7,21,0,2.6
Giannis Antetokounmpo,2020-21,Playoffs,MIL,27.6,0.599,0.159,0.469,7.8,28.7,18,24.3,1.3,2.9,10.8,31.8,2,1.7,3.7,0.224,6.7,3.2,9.9,2.4,11.9,20.9,0.569,0.6,3.3,0.186,11.3,17.6,0.642,0.584,5.8,9.8,0.587,2.8,10,12.8,5.1,1,1.2,3,2.9,30.2,7920,8.350591715976332,1.6838235294117647,FALSE,0.8313253012048193,26,,21,21,800,9,7,2,4.9,3.7,1.4,2.4,59.1,0,0.2,0,0.8,2.1,36.8,0.7,1.1,1.8,0.2,0.2,0.1,0.2,0.7,6.9,8,0,3.4
Giannis Antetokounmpo,2020-21,Regular Season,MIL,29.2,0.633,0.201,0.528,5.3,28.9,17.5,28.7,1.7,3.2,13.2,32.5,6.9,3.3,10.2,0.244,6.2,2.8,9,5.6,10.3,18,0.569,1.1,3.6,0.303,9.2,14.4,0.636,0.6,6.5,9.5,0.685,1.6,9.4,11,5.9,1.2,1.2,3.4,2.8,28.1,18117,6.849705121572685,1.977941176470588,FALSE,0.8513119533527698,26,,61,61,2013,22,12,10,3.3,2.5,1,1.7,56.8,0.1,0.2,40,0.5,0.7,68.8,0.2,1,1.1,0.4,0.2,0,0.1,0.4,4.8,17,2,1.3
Giannis Antetokounmpo,2021-22,Playoffs,MIL,26.8,0.552,0.144,0.47,6.2,31.8,19.4,36.9,0.9,3.4,13.6,38.5,0.6,1.1,1.7,0.178,6.5,4,10.4,1.4,11.7,23.8,0.491,0.8,3.4,0.22,10.9,20.3,0.537,0.507,7.6,11.2,0.679,2.2,12,14.2,6.8,0.7,1.3,4.5,3.6,31.7,4659.2,8.350591715976332,1.4191176470588234,FALSE,0.8072289156626505,27,,12,12,448,5,3,2,2.7,1,0.4,0.8,50,0,0,0,0.2,0.4,50,0.2,0.2,0.4,0,0.8,0.2,0.2,0.4,1.9,5,0,-0.8
Giannis Antetokounmpo,2021-22,Regular Season,MIL,32.1,0.633,0.194,0.615,6.6,30.4,18.7,31.7,1.6,4,12.2,34.9,9.2,3.7,12.9,0.281,7.6,3.5,11.2,7.4,10.3,18.6,0.553,1.1,3.6,0.293,9.2,15,0.616,0.582,8.3,11.4,0.722,2,9.6,11.6,5.8,1.1,1.4,3.3,3.2,29.9,24684.8,6.849705121572685,2.5808823529411766,TRUE,0.9358600583090381,27,,67,67,2204,33,21,12,2.9,2.4,0.8,1.5,51,0.1,0.2,28.6,0.8,1.2,73.7,0.2,0.8,1,0.4,0.3,0.1,0.2,0.4,4.7,28,1,1.1
Giannis Antetokounmpo,2022-23,Playoffs,MIL,18.8,0.525,0.057,0.585,9.5,32.4,20.4,29.8,0.5,1.9,17.4,37.3,-0.1,0.1,0,-0.026,1.3,0.6,2,0.1,9.3,17.7,0.528,0,1,0,9.3,16.7,0.56,0.528,4.7,10.3,0.452,2.7,8.3,11,5.3,0.3,0.7,4.7,3,23.3,182,8.350591715976332,0.25,FALSE,0.5662650602409638,28,,3,3,91,2,0,2,6.2,5,2,4.5,44.4,0,0,0,1,3,33.3,0.5,3,3.5,1,1.5,0,0,0.5,9.2,2,1,-9
Giannis Antetokounmpo,2022-23,Regular Season,MIL,29,0.605,0.134,0.604,7.3,30,19.1,33.2,1.2,2.1,13.2,38.8,4.9,3.7,8.6,0.204,5.8,2.7,8.5,5.4,11.2,20.3,0.553,0.7,2.7,0.275,10.5,17.6,0.596,0.572,7.9,12.3,0.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1,31.1,17204,6.849705121572685,1.8088235294117645,FALSE,0.8454810495626823,28,,63,63,2024,28,21,7,3.2,2.5,0.8,2,37.5,0,0.2,16.7,0.9,1.3,72.2,0.3,1,1.3,0.7,0.4,0,0,0.5,4.6,26,3,0.6
Giannis Antetokounmpo,2023-24,Regular Season,MIL,29.9,0.649,0.091,0.571,8.6,27,17.9,32.7,1.6,2.6,12.7,33,9.5,3.7,13.2,0.246,6.7,2.4,9,7.2,11.5,18.8,0.611,0.5,1.7,0.274,11,17.1,0.645,0.624,7,10.7,0.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,30.4,23103,6.849705121572685,2.1911764705882355,FALSE,0.8717201166180758,29,,73,73,2567,36,21,15,3.6,2.9,0.9,1.6,53.4,0.1,0.2,50,1.1,1.5,73.6,0.4,0.7,1.2,0.6,0.3,0.1,0.2,0.4,5.8,30,7,1.5
Giannis Antetokounmpo,2024-25,Playoffs,MIL,33.2,0.651,0.051,0.636,11,38,23.6,35.6,1.3,2.6,15.4,35.3,0.8,0.1,0.9,0.232,8.2,3.2,11.4,0.6,12,19.8,0.606,0.2,1,0.2,11.8,18.8,0.628,0.611,8.8,12.6,0.698,3.8,11.6,15.4,6.6,1,1,4.6,2.4,33,2143.2000000000003,8.350591715976332,1.9264705882352942,TRUE,1,30,,5,5,188,2,0,2,6.1,2.5,1,3,33.3,0,0.5,0,0.5,1.5,33.3,0.5,3,3.5,1.5,0.5,0,0.5,0.5,10,2,1,-2
